#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B3D361
#Date Time: 2023-05-05 13:37:05.310
#Sample rate: 1600Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Falling Level: 100 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Pulse
#Frequency: 1 Hz
#Period: 1 s
#Amplitude: 1.8 V
#Offset: 0 V
#Symmetry: 10 %
#Phase: 90 °
#Wavegen Channel 2: Running
#Mode: Simple
#Type: Pulse
#Frequency: 1 Hz
#Period: 1 s
#Amplitude: 1.8 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 180 °

Time (s),Channel 1 (V)
7.394821428571428,-0.002585624054689557
7.395446428571429,-0.002248649543428694
7.396071428571428,-0.002585624054689557
7.396696428571429,-0.0005637769871243739
7.397321428571429,0.002132019102957327
7.397946428571428,-0.003596547588472149
7.398571428571429,-0.002922598565950421
7.399196428571429,-0.002585624054689557
7.399821428571428,-0.002585624054689557
7.400446428571429,-0.002585624054689557
7.401071428571428,-0.003259573077210672
7.401696428571428,-0.002922598565950421
7.402321428571429,-0.002922598565950421
7.402946428571428,-0.002922598565950421
7.403571428571428,-0.003259573077211285
7.404196428571429,-0.003259573077211285
7.404821428571428,-0.003259573077211285
7.405446428571429,-0.007303267212341653
7.406071428571428,-0.003259573077214963
7.406696428571428,-0.004270496610993877
7.407321428571429,-0.003596547588472149
7.407946428571428,-0.002585624054690477
7.408571428571428,-0.002922598565950421
7.409196428571429,-0.002585624054689557
7.409821428571428,-0.002585624054689557
7.410446428571428,-0.002585624054689557
7.411071428571429,-0.002585624054689557
7.411696428571428,-0.002585624054689557
7.412321428571429,-0.002248649543428694
7.412946428571429,-0.001911675032164458
7.413571428571428,0.001795044591701674
7.414196428571429,0.000110172035397354
7.414821428571429,-0.003596547588471229
7.415446428571428,-0.002585624054689557
7.416071428571429,-0.002585624054689557
7.416696428571428,-0.002585624054689557
7.417321428571428,-0.002922598565950421
7.417946428571429,-0.002922598565950421
7.418571428571428,-0.002585624054689557
7.419196428571428,-0.002248649543428694
7.419821428571429,-0.002248649543429613
7.420446428571428,-0.003259573077211285
7.421071428571429,-0.002922598565950421
7.421696428571428,-0.003933522099732094
